,Topic,Word,P
0,0,poet,0.0423986054956913
1,0,poem,0.022118447348475456
2,0,browning,0.013550171628594398
3,0,lowell,0.012475415132939816
4,0,tennyson,0.01105374563485384
5,0,longfellow,0.010182494297623634
6,0,byron,0.009793998673558235
7,0,year,0.00950261764228344
8,0,poetry,0.00852228607982397
9,0,literary,0.008178436197340488
10,0,verse,0.007434543687850237
11,0,time,0.0072737792506814
12,0,write,0.007226666901260614
13,0,goethe,0.006783830933272839
14,0,wordsworth,0.0067426362074911594
15,0,early,0.006590498611330986
16,0,shelley,0.006110710091888905
17,0,sonnet,0.005828481633216143
18,0,genius,0.005720078479498625
19,0,literature,0.0055403574369847775
20,1,captain,0.054604701697826385
21,1,boat,0.03537807986140251
22,1,deck,0.01598009467124939
23,1,sea,0.013136705383658409
24,1,sail,0.011868863366544247
25,1,wind,0.01128134224563837
26,1,ship,0.010158072225749493
27,1,men,0.010143140330910683
28,1,crew,0.009003300219774246
29,1,water,0.008622230961918831
30,1,come,0.0072770798578858376
31,1,man,0.0071800472214818
32,1,sailor,0.007094461005181074
33,1,mate,0.005959410220384598
34,1,make,0.0057690818794071674
35,1,go,0.005639955867081881
36,1,run,0.005635423585772514
37,1,take,0.005485387984663248
38,1,cabin,0.005199933424592018
39,1,hand,0.004962628707289696
40,2,dat,0.030256859958171844
41,2,ter,0.017206070944666862
42,2,dey,0.014960591681301594
43,2,wid,0.011975854635238647
44,2,come,0.011832230724394321
45,2,ole,0.011791577562689781
46,2,hit,0.011558468453586102
47,2,know,0.010786471888422966
48,2,git,0.010619382373988628
49,2,get,0.010415949858725071
50,2,wuz,0.010067475959658623
51,2,den,0.00971892662346363
52,2,see,0.009199247695505619
53,2,time,0.008439986035227776
54,2,bout,0.00841402355581522
55,2,do,0.008327853865921497
56,2,tell,0.008223412558436394
57,2,jes,0.007239100057631731
58,2,nigger,0.0070792254991829395
59,2,man,0.006941852625459433
60,3,color,0.02923191711306572
61,3,white,0.012855018489062786
62,3,blue,0.008118288591504097
63,3,red,0.007805750239640474
64,3,light,0.007601637858897448
65,3,eye,0.007179900538176298
66,3,form,0.007176167797297239
67,3,black,0.007067046593874693
68,3,beauty,0.006708231754601002
69,3,see,0.006229235790669918
70,3,make,0.005612412933260202
71,3,beautiful,0.005567022133618593
72,3,effect,0.005158658139407635
73,3,figure,0.005128919146955013
74,3,green,0.004895057063549757
75,3,yellow,0.004712599795311689
76,3,dark,0.004463764373213053
77,3,feature,0.004385348875075579
78,3,face,0.004305512178689241
79,3,show,0.0041175163350999355
80,4,eat,0.012327426113188267
81,4,day,0.012008864432573318
82,4,good,0.011034376919269562
83,4,food,0.010126366280019283
84,4,make,0.009658432565629482
85,4,bread,0.009279989637434483
86,4,work,0.007960050366818905
87,4,cook,0.007493111304938793
88,4,table,0.006832415238022804
89,4,take,0.006388160400092602
90,4,tea,0.006175363902002573
91,4,meal,0.006105232518166304
92,4,much,0.006080062128603458
93,4,use,0.005944216623902321
94,4,many,0.005818979348987341
95,4,time,0.005654228385537863
96,4,milk,0.005382858216762543
97,4,dinner,0.005347840487957001
98,4,family,0.005214305128902197
99,4,coffee,0.005116711370646954
100,5,gaunt,0.06747157126665115
101,5,swan,0.04086794704198837
102,5,kentucky,0.03190728649497032
103,5,cumberland,0.030118227005004883
104,5,griffith,0.01845042034983635
105,5,eet,0.012811942957341671
106,5,catharine,0.012404520064592361
107,5,bluegrass,0.011940204538404942
108,5,peyton,0.01146731898188591
109,5,ryder,0.010496719740331173
110,5,neville,0.00973157025873661
111,5,tink,0.009552172385156155
112,5,betts,0.008567352779209614
113,5,gar,0.007389911916106939
114,5,ees,0.007254057098180056
115,5,kate,0.006922316737473011
116,5,een,0.006857459899038076
117,5,dame,0.006551067810505629
118,5,mak,0.006407782901078463
119,5,mercy,0.006373219657689333
120,6,president,0.02228711172938347
121,6,state,0.014170510694384575
122,6,party,0.013414042070508003
123,6,lincoln,0.012579248286783695
124,6,vote,0.010682282969355583
125,6,election,0.007810548879206181
126,6,republican,0.007353597786277533
127,6,senator,0.006593538913875818
128,6,make,0.006476288195699453
129,6,convention,0.006280243396759033
130,6,union,0.006176749709993601
131,6,war,0.005784931592643261
132,6,washington,0.005613281391561031
133,6,south,0.005582442507147789
134,6,political,0.005525567103177309
135,6,candidate,0.0055127316154539585
136,6,house,0.005294919945299625
137,6,congress,0.005290941335260868
138,6,member,0.005100271198898554
139,6,speech,0.004751546308398247
140,7,maurice,0.024633388966321945
141,7,mon,0.022387739270925522
142,7,wright,0.014770192094147205
143,7,barty,0.011460511013865471
144,7,est,0.010431665927171707
145,7,french,0.009994515217840672
146,7,little,0.009548148140311241
147,7,bernard,0.009125678800046444
148,7,blanche,0.009017194621264935
149,7,que,0.007906034588813782
150,7,quite,0.007777864579111338
151,7,gibson,0.007121612783521414
152,7,caf,0.006254878826439381
153,7,make,0.005679268855601549
154,7,wimpole,0.005220408551394939
155,7,qui,0.005204312968999147
156,7,even,0.005195382982492447
157,7,non,0.005093591287732124
158,7,know,0.004934424534440041
159,7,pre,0.004915314726531506
160,8,canada,0.060227829962968826
161,8,canadian,0.04193587601184845
162,8,lawrence,0.041470423340797424
163,8,quebec,0.024904005229473114
164,8,montreal,0.017361493781208992
165,8,pirate,0.015697268769145012
166,8,french,0.013700680807232857
167,8,province,0.011978364549577236
168,8,montgomery,0.01165078580379486
169,8,bering,0.01091123465448618
170,8,greenwich,0.009387336671352386
171,8,dominion,0.009187458083033562
172,8,island,0.007348785176873207
173,8,longitude,0.007323837839066982
174,8,nova,0.0064341044053435326
175,8,heath,0.006333968136459589
176,8,british,0.005981837399303913
177,8,macdonald,0.005923248361796141
178,8,abner,0.005918108392506838
179,8,niagara,0.005735655780881643
180,9,catherine,0.04792177304625511
181,9,sterling,0.03725834935903549
182,9,jeanne,0.02475350722670555
183,9,maid,0.022191589698195457
184,9,jacques,0.021401915699243546
185,9,durand,0.00807585846632719
186,9,come,0.007811786141246557
187,9,mlle,0.007405289448797703
188,9,tompkins,0.007319084368646145
189,9,bertrand,0.006777286995202303
190,9,pierre,0.006633481942117214
191,9,benny,0.0061827730387449265
192,9,achille,0.006010026670992374
193,9,muriel,0.005950332153588533
194,9,achilles,0.005662921350449324
195,9,mackintosh,0.005294157657772303
196,9,see,0.004959456156939268
197,9,go,0.004724306054413319
198,9,tell,0.004568993113934994
199,9,never,0.004450291860848665
200,10,hotel,0.021205967292189598
201,10,jack,0.017716538161039352
202,10,go,0.009784634225070477
203,10,morning,0.009602312929928303
204,10,take,0.00884079746901989
205,10,room,0.00857149064540863
206,10,get,0.007150913123041391
207,10,make,0.006747093051671982
208,10,leave,0.006736985873430967
209,10,night,0.006518727634102106
210,10,day,0.006447914522141218
211,10,hour,0.006156216375529766
212,10,find,0.006065645720809698
213,10,come,0.006017071660608053
214,10,breakfast,0.005706853698939085
215,10,time,0.005353801418095827
216,10,march,0.005156730301678181
217,10,little,0.005096286069601774
218,10,return,0.004266682080924511
219,10,look,0.004180445801466703
220,11,state,0.04157453775405884
221,11,government,0.019906502217054367
222,11,united,0.015283978544175625
223,11,congress,0.014019981026649475
224,11,year,0.009529287926852703
225,11,bill,0.00838665571063757
226,11,act,0.007177088875323534
227,11,new,0.006960908882319927
228,11,law,0.00645778002217412
229,11,make,0.0063129509799182415
230,11,power,0.006280273199081421
231,11,constitution,0.006225490011274815
232,11,president,0.00579260615631938
233,11,general,0.005724526941776276
234,11,public,0.0053760395385324955
235,11,report,0.004653983283787966
236,11,department,0.004504480864852667
237,11,committee,0.004255554638803005
238,11,right,0.004180164076387882
239,11,house,0.004135095980018377
240,12,deer,0.030320076271891594
241,12,maria,0.02982046827673912
242,12,hunter,0.026558872312307358
243,12,polly,0.025180300697684288
244,12,amy,0.016608085483312607
245,12,winthrop,0.015509567223489285
246,12,rabbit,0.011507131159305573
247,12,game,0.01135300938040018
248,12,trout,0.010843360796570778
249,12,hunting,0.010542289353907108
250,12,garda,0.01027537602931261
251,12,sportsman,0.010109294205904007
252,12,moose,0.008179398253560066
253,12,maggie,0.008169298991560936
254,12,buck,0.008061952888965607
255,12,harold,0.0075912256725132465
256,12,wood,0.007106936536729336
257,12,thorne,0.0070475367829203606
258,12,eunice,0.00683722086250782
259,12,shooting,0.006653408985584974
260,13,paul,0.1876383274793625
261,13,eve,0.06459583342075348
262,13,jimmy,0.017687581479549408
